customer_unique_id,orders,first_order_date,last_order_date,revenue,aov,avg_review_score,avg_delivery_delay_days
0a0a92112bd4c708ca5fde585afaa872,1,2017-09-29,2017-09-29,13664.08,13664.08,1.0,-5.234386574074074
da122df9eeddfedc1dc1f5349a1a690c,2,2017-04-01,2017-04-01,7571.63,3785.815,5.0,-17.96488425925926
763c8b1c9c68a0229c42c9fc6f662b93,1,2018-07-15,2018-07-15,7274.88,7274.88,1.0,-6.081180555555556
dc4802a71eae9be1dd28f5d788ceb526,1,2017-02-12,2017-02-12,6929.31,6929.31,5.0,-5.400486111111111
459bef486812aa25204be022145caa62,1,2018-07-25,2018-07-25,6922.21,6922.21,,5.62349537037037
ff4159b92c40ebe40454e3e6a7c35ed6,1,2017-05-24,2017-05-24,6726.66,6726.66,5.0,-22.284861111111113
4007669dec559734d6f53e029e360987,1,2017-11-24,2017-11-24,6081.54,6081.54,1.0,-8.48886574074074
eebb5dda148d3893cdaf5b5ca3040ccb,1,2017-04-18,2017-04-18,4764.34,4764.34,4.0,-7.553715277777778
48e1ac109decbb87765a3eade6854098,1,2018-06-22,2018-06-22,4681.78,4681.78,5.0,-10.952430555555555
c8460e4251689ba205045f3ea17884a1,4,2018-08-07,2018-08-08,4655.88,1163.97,4.0,-11.792818287037036
edde2314c6c30e864a128ac95d6b2112,1,2018-08-03,2018-08-03,4513.32,4513.32,5.0,-11.047256944444445
a229eba70ec1c2abef51f04987deb7a5,1,2018-05-31,2018-05-31,4445.5,4445.5,5.0,-22.137395833333333
edf81e1f3070b9dac83ec83dacdbb9bc,1,2017-04-18,2017-04-18,4194.76,4194.76,2.0,-11.407222222222222
fa562ef24d41361e476e748681810e1e,1,2018-03-29,2018-03-29,4175.26,4175.26,5.0,-10.058680555555556
ca27f3dac28fb1063faddd424c9d95fa,1,2018-07-29,2018-07-29,4163.51,4163.51,4.0,-6.039259259259259
5e713be0853d8986528d7869a0811d2b,1,2017-02-04,2017-02-04,4042.74,4042.74,5.0,-49.43201388888889
58483a1c055dfb600f57c5b867174542,1,2018-06-05,2018-06-05,4034.44,4034.44,5.0,-20.586967592592593
011875f0176909c5cf0b14a9138bb691,1,2017-03-18,2017-03-18,4016.91,4016.91,5.0,-9.67505787037037
f0767ae738c3d90e7b737d7b8b8bb4d1,1,2018-05-14,2018-05-14,3979.55,3979.55,4.0,-9.144444444444444
bc5e25094a7d51b6aee35236572e64f4,1,2018-01-26,2018-01-26,3826.8,3826.8,5.0,-12.421412037037037
3fec1a05177762f279472253113d568a,1,2018-03-21,2018-03-21,3792.59,3792.59,5.0,-9.018368055555555
5d09b0d82126457e2a8ebfb9c9a1ffc4,1,2017-02-10,2017-02-10,3736.22,3736.22,4.0,-12.49449074074074
931eabdf0636b8fd60369a8d759917d6,1,2017-05-10,2017-05-10,3666.42,3666.42,5.0,-12.621527777777779
03796b63235e0e0a299084988c662c7e,1,2017-02-21,2017-02-21,3602.47,3602.47,5.0,-14.30574074074074
59d66d72939bc9497e19d89c61a96d5f,2,2017-03-02,2017-08-10,3559.99,1779.995,5.0,-3.3217476851851853
2c3b08cf3584d8c0a81d9618a73aa219,1,2018-04-09,2018-04-09,3526.46,3526.46,4.0,-10.912002314814815
95a744604de66a2e40e18086e69be4f2,1,2018-07-06,2018-07-06,3406.47,3406.47,5.0,-5.154930555555556
76a08544f95591acec0d4c976054c459,1,2018-02-11,2018-02-11,3358.24,3358.24,2.0,-8.23261574074074
ce3fe361f9e68bf0a813baaae1334d01,1,2018-08-15,2018-08-15,3351.35,3351.35,4.0,-5.9885069444444445
7a96eb0a685f5c19b7dad29fc802aa64,1,2017-12-17,2017-12-17,3297.4,3297.4,5.0,-15.465266203703704
